#45
## Blademaster Forms Data file
## Written Sun Jun 27 20:47:35 1999
## Contains 45 forms.
## File Format
#
# Form              // The Name of this form.
# aType             // The Attack/Defense Type.
# fType             // The affect type.
# difficulty        // The difficulty level.
# Nation            // Specific nation?
# toChar            // Message blademaster sees.
# toVict            // Message victim sees.
# toRoom            // Message the room sees.
#
Form     Ribbon in the Air~
aType    1
fType    2
Diff     1
Nation   any~
CharMsg  You merely tap $N's attack aside with Ribbon in the Air.~
VictMsg  $n merely taps your attack aside with Ribbon in the Air.~
RoomMsg  $n uses minimum effort as he taps $N's attack to the side.~

Form     River Undercuts the Bank~
aType    0
fType    1
Diff     9
Nation   any~
CharMsg  You quickly drop to one knee and slash out with River Undercuts the Bank.~
VictMsg  $n drops to one knee and slashes out with River Undercuts the Bank.~
RoomMsg  $n drops to one knee and slashes at $N with River Undercuts the Bank.~

Form     Stone Falls From the Mountain~
aType    0
fType    3
Diff     6
Nation   any~
CharMsg  Several lunges pierce $N with Stone Falls From the Mountain.~
VictMsg  Several lunges pierce you with $n's Stone Falls From the Mountain.~
RoomMsg  Several lunges pierce $N with $n's Stone Falls From the Mountain.~

Form     Striking the Spark~
aType    2
fType    3
Diff     8
Nation   any~
CharMsg  Striking the Spark- with all your might, your blade crashes against $N's.~
VictMsg  The sharp ring of steel on steel thunders as $n's blade hacks at yours.~
RoomMsg  The sharp ring of steel on steel thunders as blades clash violently.~

Form     Swallow Rides the Air~
aType    0
fType    1
Diff     3
Nation   any~
CharMsg  Swallow Rides the Air, a quick vertical slash opens $N.~
VictMsg  Swallow Rides the Air, $n's vertical slash opens your chest.~
RoomMsg  Swallow Rides the Air, a quick vertical slash opens $N.~

Form     Swallow Takes Flight~
aType    0
fType    4
Diff     6
Nation   any~
CharMsg  Swallow Takes Flight slashes $N in a blur of the eye!~
VictMsg  Before you can react, $n opens your chest Swallow Takes Flight!~
RoomMsg  $n's Swallow Takes Flight slashes $N in a blur of the eye!~

Form     The Wind Blows Over the Wall~
aType    0
fType    2
Diff     3
Nation   any~
CharMsg  The Wind Blows Over the Wall negates $N's parry.~
VictMsg  $n's the Wind Blows Over the Wall negates your parry.~
RoomMsg  $n's the Wind Blows Over the Wall negates $N's parry.~

Form     Thistledown Floats on the Whirlwind~
aType    0
fType    3
Diff     6
Nation   any~
CharMsg  You leap towards $N with Thistledown Floats on the Whirlwind!~
VictMsg  $n leaps towards you with Thistledown Floats on the Whirlwind!~
RoomMsg  $n leaps towards $N with Thistledown Floats on the Whirlwind!~

Form     Tower of the Morning~
aType    2
fType    1
Diff     0
Nation   any~
CharMsg  You hold Tower of the Morning in wait.~
VictMsg  $n takes a step back and plants $s blade in the earth, waiting.~
RoomMsg  $n takes a step back and plants $s blade in the earth, waiting.~

Form     Twisting the Wind~
aType    0
fType    4
Diff     6
Nation   any~
CharMsg  Twin slashes cut $N, Twisting the Wind.~
VictMsg  $n's twin slashes cut you, Twisting the Wind.~
RoomMsg  $n's twin slashes cut $N, Twisting the Wind.~

Form     Water Flows Downhill~
aType    0
fType    2
Diff     3
Nation   any~
CharMsg  Your Water Flows Downhill slices past $N's parry.~
VictMsg  $n's Water Flows Downhill cuts open your leg after you parry.~
RoomMsg  $n's Water Flows Downhill cuts open $N's leg after $S parry.~

Form     Watered Silk~
aType    1
fType    1
Diff     1
Nation   any~
CharMsg  Your blade quickly arcs downwards, Watered Silk parries $N's attack.~
VictMsg  $n's blade quickly arcs downwards, parrying your attack.~
RoomMsg  $n's blade quickly arcs downwards, parrying $N's attack.~

Form     Whirlwind on the Mountain~
aType    0
fType    3
Diff     6
Nation   any~
CharMsg  Your blade spins overhead, Whirlwind on the Mountain!~
VictMsg  $n's blade spins overhead, Whirlwind on the Mountain!~
RoomMsg  $n's blade spins overhead towards $N, Whirlwind on the Mountain!~

Form     The Wind and Rain~
aType    0
fType    3
Diff     6
Nation   any~
CharMsg  The Wind and the Rain slices and thrusts past $N's parries!~
VictMsg  $n the Wind and the Rain slices and thrusts past your parries!~
RoomMsg  $n the Wind and the Rain slices and thrusts past your parries!~

Form     Wood Grouse Dances~
aType    1
fType    3
Diff     1
Nation   any~
CharMsg  Wood Grouse Dances- a side-step and pivot carry you from $N's attack.~
VictMsg  $n dodges your attack with the Wood Grouse Dances, readying a return strike.~
RoomMsg  $n dodges $N's attack with the Wood Grouse Dances, readying a return strike.~

Form     The Westwind Blows~
aType    1
fType    1
Diff     1
Nation   any~
CharMsg  The Westwind Blows- a quick overhead parry saves your neck.~
VictMsg  $n's blade flows to an overhead parry to block your attack.~
RoomMsg  $n's sword is quick to an overhead parry as $N attacks.~

Form     Cutting the Clouds~
aType    0
fType    4
Diff     7
Nation   any~
CharMsg  Cutting the Clouds, an overhead slash speeds towards $N.~
VictMsg  Cutting the Clouds, $n's overhead slash speeds towards you.~
RoomMsg  Cutting the Clouds, $n's overhead slash speeds towards $N.~

Form     Soft Rain at Sunset~
aType    0
fType    5
Diff     10
Nation   any~
CharMsg  A gentle stab, the Soft Rain at Sunset bleeds $N's eye.~
VictMsg  Soft Rain at Sunset, $n gracefully sticks $s blade into your eye.~
RoomMsg  Soft Rain at Sunset, $n gracefully sticks $s blade into $N's eye.~

Form     Black Pebbles on Snow~
aType    0
fType    2
Diff     3
Nation   any~
CharMsg  A quick slash opens $N's waist with Black Pebbles on Snow.~
VictMsg  $n's quick slash opens your waist with Black Pebbles on Snow.~
RoomMsg  $n's quick slash opens $N's waist with Black Pebbles on Snow.~

Form     The Rose Unfolds~
aType    0
fType    2
Diff     3
Nation   any~
CharMsg  From deep within your defense, the Rose Unfolds.~
VictMsg  From deep within $s defense, the Rose Unfolds.~
RoomMsg  $n looks pinned in defense before the Rose Unfolds.~

Form     Dandelion in the Wind~
aType    0
fType    4
Diff     6
Nation   any~
CharMsg  Dandelion in the Wind, a rising slash knocks aside the parry.~
VictMsg  $n's Dandelion in the Wind knocks aside your parry and follows with an attack.~
RoomMsg  $n's Dandelion in the Wind knocks aside $N's parry and follows with an attack.~


Form     Kissing the Adder~
aType    0
fType    5
Diff     4
Nation   any~
CharMsg  Your thrust impales $N, Kissing the Adder.~
VictMsg  Blood and agony are your only reality as $s blade impales you with Kissing the Adder.~
RoomMsg  Time stalls as $n slams $s blade to the hilt through $N, Kissing the Adder.~
End
